Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\ARDUINO\Project Outputs for ARDUINO\Pick Place\Pick Place for PCB1(FIXED 5V).txt

========================================================================================================================
File Design Information:

Date:       24.10.21
Time:       17:15
Revision:   Not in VersionControl
Variant:    FIXED 5V
Units used: mm

Designator Comment                    Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                   
Z2         CGA0603MLC-05E             TopLayer Z0603                            6.8500       18.9750      90       "ESD Suppressor TVS Bi-Dir 5V Automotive 2-Pin Case 0603(1608Metric) T/R"                                                                     
Z1         CGA0603MLC-05E             TopLayer Z0603                            6.8750       22.0500      270      "ESD Suppressor TVS Bi-Dir 5V Automotive 2-Pin Case 0603(1608Metric) T/R"                                                                     
Y2         ABM11W-16.0000MHZ-8-B1U-T3 TopLayer ABM11W                           40.0050      27.7065      0        "Iot Optimized 16MHZ 8PF Crystal"                                                                                                             
Y1         ABM11W-16.0000MHZ-8-B1U-T3 TopLayer ABM11W                           24.1505      27.0510      270      "Iot Optimized 16MHZ 8PF Crystal"                                                                                                             
U7         SN74AUC1G08DBVR            TopLayer DBV-SOT-23-5                     24.5500      16.5000      0        "LOGIC, 74AUC1G, AND GATE, SOT23-5"                                                                                                           
U6         SN74AUC1G08DBVR            TopLayer DBV-SOT-23-5                     66.2940      15.9258      270      "LOGIC, 74AUC1G, AND GATE, SOT23-5"                                                                                                           
U5         SN74AUC1G08DBVR            TopLayer DBV-SOT-23-5                     5.8250       26.4750      0        "LOGIC, 74AUC1G, AND GATE, SOT23-5"                                                                                                           
U4         SN74AUC1G08DBVR            TopLayer DBV-SOT-23-5                     18.3642      43.5610      0        "LOGIC, 74AUC1G, AND GATE, SOT23-5"                                                                                                           
U3         ATMEGA328P-PU              TopLayer DIP28                            45.5550      16.3830      270      "IC MCU 8BIT 32KB FLASH 28DIP"                                                                                                                
U2         TL1963A-33DCQT             TopLayer DCQ_(R-PDSO-G6)                  24.5000      8.4250       270      "Single Output LDO, 1.5A, 3.3V Fast Trans"                                                                                                    
U1         ATMEGA16U2-AU              TopLayer TQFP32                           15.7750      29.9000      180      "MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32"                                                                              
SW2        1825910-6                  TopLayer 1825910-6                        28.9750      27.7000      180      "6X6, H5,  160G TAC.SWITCH"                                                                                                                   
SW1        1825910-6                  TopLayer 1825910-6                        64.1604      28.4734      270      "6X6, H5,  160G TAC.SWITCH"                                                                                                                   
SCK_FOR_U1 "28-DIP Socket"            TopLayer 28_DIP_7.62MM_SOCKET             -444.1190    -445.6430    270      "CONN IC DIP SOCKET 28POS TIN"                                                                                                                
R28        22R                        TopLayer R0805                            25.7250      19.8500      270      "Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R"                                                                        
R27        22R                        TopLayer R0805                            65.2526      23.3934      270      "Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R"                                                                        
R26        22R                        TopLayer R0805                            2.7178       28.1178      90       "Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R"                                                                        
R25        560R                       TopLayer R0805                            24.5750      13.7750      0        "Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200"                                                                                          
R24        10K                        TopLayer R0805                            23.5500      19.8500      270      "RES SMD 10K OHM 5% 1/8W 0805"                                                                                                                
R23        10K                        TopLayer R0805                            67.4370      23.3934      270      "RES SMD 10K OHM 5% 1/8W 0805"                                                                                                                
R22        10K                        TopLayer R0805                            1.6764       25.0952      180      "RES SMD 10K OHM 5% 1/8W 0805"                                                                                                                
R21        10K                        TopLayer R0805                            67.4624      19.7612      90       "RES SMD 10K OHM 5% 1/8W 0805"                                                                                                                
R20        1MR/0805                   TopLayer R0805                            40.3860      23.1140      180      "RES SMD 1M OHM 1% 1/8W 0805"                                                                                                                 
R19        560R                       TopLayer R0805                            59.3090      34.5694      0        "Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200"                                                                                          
R18        560R                       TopLayer R0805                            24.6888      44.3230      0        "Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200"                                                                                          
R17        10K                        TopLayer R0805                            61.5442      22.4536      0        "RES SMD 10K OHM 5% 1/8W 0805"                                                                                                                
R16        22R                        TopLayer R0805                            37.0840      9.9060       180      "Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R"                                                                        
R14        0R                         TopLayer R0805                            2.0320       5.8420       180      "Res Thick Film 0805 0 Ohm Epoxy Pad SMD T/R"                                                                                                 
R13        1K                         TopLayer R0805                            63.5000      42.6720      270      "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                 
R12        1K                         TopLayer R0805                            58.4200      46.4820      90       "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                 
R11        1K                         TopLayer R0805                            60.9600      46.4820      90       "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                 
R10        0R                         TopLayer R0805                            9.3980       17.0180      180      "Res Thick Film 0805 0 Ohm Epoxy Pad SMD T/R"                                                                                                 
R9         22R                        TopLayer R0805                            9.4000       19.3500      0        "Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R"                                                                        
R8         22R                        TopLayer R0805                            9.4000       21.6000      0        "Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R"                                                                        
R7         1MR/0805                   TopLayer R0805                            21.8440      27.1780      90       "RES SMD 1M OHM 1% 1/8W 0805"                                                                                                                 
R6         22R                        TopLayer R0805                            9.9060       35.3060      180      "Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R"                                                                        
R5         10K                        TopLayer R0805                            8.9000       26.1750      90       "RES SMD 10K OHM 5% 1/8W 0805"                                                                                                                
R3         560R                       TopLayer R0805                            28.4500      39.8500      0        "Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200"                                                                                          
R2         560R                       TopLayer R0805                            28.4577      42.2043      0        "Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200"                                                                                          
R1         100K                       TopLayer R0805                            17.6500      37.8500      90       "Res Thick Film 0805 100K Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R"                                                                    
MH4        MH_7.4MMC_3.2MMD           TopLayer MH_7.4MMC_3.2MMD_NON_COPPER_NPLT 15.2400      50.8000      0        "Mounting Hole 7.4 mm Diameter (Non Copper), 3.2 mm Drill NPTH"                                                                               
MH3        MH_7.4MMC_3.2MMD           TopLayer MH_7.4MMC_3.2MMD                 66.0400      35.5600      0        "Mounting Hole 7.4 mm Diameter, 3.2 mm Drill"                                                                                                 
MH2        MH_7.4MMC_3.2MMD           TopLayer MH_7.4MMC_3.2MMD                 66.0400      7.6200       0        "Mounting Hole 7.4 mm Diameter, 3.2 mm Drill"                                                                                                 
