Category,Description,Case/Package,Pricing 1,Manufacturer,LibRef,Quantity,Stock 1

"Aluminum Electrolytic Capacitors","Cap Aluminum Lytic 100uF 10V 20% (8 X 6.2mm) SMD 110mA 1000h 105C T/R","Radial","1=0,57000, 10=0,40100, 50=0,30340, 100=0,26430 (USD)","Panasonic","EEE-HA1A101AP","2","351"
"Ceramic Capacitors","CAP CER 1UF 25V JB 0805","0805","1=0,38000, 10=0,26200, 50=0,17480, 100=0,14860, 500=0,10488, 1000=0,09177 (USD)","TDK","CGB4B3JB1E105K055AB","1","9451"
"Ceramic Capacitors","CAP CER 18PF 50V NP0 0805","0805","1=1,11000, 10=0,84100, 50=0,69860, 100=0,60150, 500=0,46570, 1000=0,40102 (USD)","KEMET","CBR08C180F5GAC","4","2495"
"Ceramic Capacitors","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","0805","1=0,25000, 10=0,17200, 50=0,11440, 100=0,09720, 500=0,06864, 1000=0,06006 (USD)","TDK","C2012X7R1H104K125AE","19","3200"
"Ceramic Capacitors","TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK","0805","1=0,29000, 10=0,19800, 50=0,11900, 100=0,10050, 500=0,06876, 1000=0,06084 (USD)","TDK","C2012X5R1C106M085AC","7","53928"
"Chip SMD Resistors","RES SMD 1K OHM 1% 1/8W 0805","0805","1=0,10000, 10=0,05000, 100=0,02040, 1000=0,00917, 2500=0,00796 (USD)","Yageo","AC0805FR-071KL","3","146950"
"Chip SMD Resistors","RES SMD 1M OHM 1% 1/8W 0805","0805","1=0,53000, 10=0,38100, 100=0,15240, 1000=0,07511, 2500=0,06959 (USD)","Yageo","RV0805FR-071ML","2","4797"
"Chip SMD Resistors","RES SMD 10K OHM 5% 1/8W 0805","0805","1=0,25000, 10=0,21100, 100=0,08260, 1000=0,03458, 2500=0,03170 (USD)","Yageo","SR0805JR-0710KL","6","9830"
"Chip SMD Resistors","Res Thick Film 0805 0 Ohm Epoxy Pad SMD T/R","0805","1=0,10000, 10=0,03200, 25=0,02360, 50=0,01780, 100=0,01320, 250=0,01004, 500=0,00802, 1000=0,00591 (USD)","Yageo","RC0805FR-070RL","2","312891"
"Chip SMD Resistors","Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R","0805","1=0,10000, 10=0,03600, 100=0,01450, 1000=0,00652, 2500=0,00566 (USD)","Yageo","RC0805JR-0722RL","7","938662"
