Comment,Description,Designator,LibRef,Quantity,Manufacturer,Manufacturer Part Number,Case/Package,Supplier 1,Supplier Part Number 1

"10uF-0805/16V","TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK","C1","C2012X5R1C106M085AC","1","TDK","C2012X5R1C106M085AC","0805","Digi-Key","445-7645-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C2","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C3","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C4","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"1uF/25V","CAP CER 1UF 25V JB 0805","C5","CGB4B3JB1E105K055AB","1","TDK","CGB4B3JB1E105K055AB","0805","Digi-Key","445-13262-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C6","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100uF/10V","Cap Aluminum Lytic 100uF 10V 20% (8 X 6.2mm) SMD 110mA 1000h 105C T/R","C7","EEE-HA1A101AP","1","Panasonic","EEE-HA1A101AP","Radial","Digi-Key","PCE4650CT-ND"
"100uF/10V","Cap Aluminum Lytic 100uF 10V 20% (8 X 6.2mm) SMD 110mA 1000h 105C T/R","C8","EEE-HA1A101AP","1","Panasonic","EEE-HA1A101AP","Radial","Digi-Key","PCE4650CT-ND"
"CBR08C180F5GAC","CAP CER 18PF 50V NP0 0805","C9","CBR08C180F5GAC","1","KEMET","CBR08C180F5GAC","0805","Digi-Key","399-17327-1-ND"
"CBR08C180F5GAC","CAP CER 18PF 50V NP0 0805","C10","CBR08C180F5GAC","1","KEMET","CBR08C180F5GAC","0805","Digi-Key","399-17327-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C11","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"10uF-0805/16V","TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK","C12","C2012X5R1C106M085AC","1","TDK","C2012X5R1C106M085AC","0805","Digi-Key","445-7645-1-ND"
"10uF-0805/16V","TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK","C13","C2012X5R1C106M085AC","1","TDK","C2012X5R1C106M085AC","0805","Digi-Key","445-7645-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C14","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C15","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C16","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"10uF-0805/16V","TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK","C17","C2012X5R1C106M085AC","1","TDK","C2012X5R1C106M085AC","0805","Digi-Key","445-7645-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C18","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"10uF-0805/16V","TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK","C19","C2012X5R1C106M085AC","1","TDK","C2012X5R1C106M085AC","0805","Digi-Key","445-7645-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C20","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"10uF-0805/16V","TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK","C21","C2012X5R1C106M085AC","1","TDK","C2012X5R1C106M085AC","0805","Digi-Key","445-7645-1-ND"
"10uF-0805/16V","TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK","C22","C2012X5R1C106M085AC","1","TDK","C2012X5R1C106M085AC","0805","Digi-Key","445-7645-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C23","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C24","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C25","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"CBR08C180F5GAC","CAP CER 18PF 50V NP0 0805","C26","CBR08C180F5GAC","1","KEMET","CBR08C180F5GAC","0805","Digi-Key","399-17327-1-ND"
"CBR08C180F5GAC","CAP CER 18PF 50V NP0 0805","C27","CBR08C180F5GAC","1","KEMET","CBR08C180F5GAC","0805","Digi-Key","399-17327-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C28","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C29","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C30","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C31","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C32","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"100nF-0805/50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C33","C2012X7R1H104K125AE","1","TDK","C2012X7R1H104K125AE","0805","Digi-Key","445-15929-1-ND"
"Orange","OSRAM - LO L29K-H2K1-24-Z - SMARTLED 0603 ORANGE 55AC2374","D1","LOL29K-H2K1-24-Z","1","Osram Opto","LOL29K-H2K1-24-Z","0603","Arrow Electronics","LO L29K-H2K1-24-Z"
"Orange","OSRAM - LO L29K-H2K1-24-Z - SMARTLED 0603 ORANGE 55AC2374","D2","LOL29K-H2K1-24-Z","1","Osram Opto","LOL29K-H2K1-24-Z","0603","Arrow Electronics","LO L29K-H2K1-24-Z"
"Orange","OSRAM - LO L29K-H2K1-24-Z - SMARTLED 0603 ORANGE 55AC2374","D3","LOL29K-H2K1-24-Z","1","Osram Opto","LOL29K-H2K1-24-Z","0603","Arrow Electronics","LO L29K-H2K1-24-Z"
"Green","LED GREEN DIFFUSED 0603 SMD","D4","LTQ39E-Q1OO-25-1","1","Osram Opto","LTQ39E-Q1OO-25-1","SMD/SMT","Digi-Key","475-3441-1-ND"
"MBR0530","DIODE SCHOTTKY 30V 500MA SOD123","D5","MBR0530","1","ON Semiconductor / Fairchild","MBR0530","","Newark","15R3453"
"MBR0530","DIODE SCHOTTKY 30V 500MA SOD123","D6","MBR0530","1","ON Semiconductor / Fairchild","MBR0530","","Newark","15R3453"
"MMZ2012Y600BT000","TDK         MMZ2012Y600BT000             FERRITE BEAD, 60 OHM, 1A, 0805","FB1","MMZ2012Y600BT000","1","TDK","MMZ2012Y600BT000","0805","Digi-Key","445-2204-1-ND"
"MMZ2012Y600BT000","TDK         MMZ2012Y600BT000             FERRITE BEAD, 60 OHM, 1A, 0805","FB2","MMZ2012Y600BT000","1","TDK","MMZ2012Y600BT000","0805","Digi-Key","445-2204-1-ND"
"MMZ2012Y600BT000","TDK         MMZ2012Y600BT000             FERRITE BEAD, 60 OHM, 1A, 0805","FB3","MMZ2012Y600BT000","1","TDK","MMZ2012Y600BT000","0805","Digi-Key","445-2204-1-ND"
"HDR-2X2","CONN HEADER 4POS .100 DUAL GOLD","J1","TSW-102-23-S-D","1","Samtec","TSW-102-23-S-D","","Digi-Key","SAM1072-02-ND"
"10118193-0001LF","CONN USB MICRO B RECPT SMT R/A","J3","10118193-0001LF","1","Amphenol ICC / FCI","10118193-0001LF","","Digi-Key","609-4616-1-ND"
"HDR-2X3","SAMTEC         TSW-103-06-T-D             Board-To-Board Connector, Vertical, TSW Series, 6 Contacts, Header, 2.54 mm, Through Hole, 2 Rows","J6","TSW-103-06-T-D","1","Samtec","TSW-103-06-T-D","","Digi-Key","TSW-103-06-T-D-ND"
"HEADER-FEMALE-1X8-2.54mm","CONN HDR 8POS 0.1 TIN PCB","J7","PPTC081LFBN-RC","1","Sullins","PPTC081LFBN-RC","","Digi-Key","S7006-ND"
"HEADER-FEMALE-1X10-2.54mm","CONN HDR 10POS 0.1 GOLD PCB","J8","PPPC101LFBN-RC","1","Sullins","PPPC101LFBN-RC","","Digi-Key","S7043-ND"
"HEADER-FEMALE-1X6-2.54mm","CONN HDR 6POS 0.1 GOLD PCB","J9","PPPC061LFBN-RC","1","Sullins","PPPC061LFBN-RC","","Digi-Key","S7039-ND"
"HEADER-FEMALE-1X8-2.54mm","CONN HDR 8POS 0.1 TIN PCB","J10","PPTC081LFBN-RC","1","Sullins","PPTC081LFBN-RC","","Digi-Key","S7006-ND"
"HDR_1X4","CONN HEADER 4POS .100 STR 15AU","JP1","68002-204HLF","1","Amphenol ICC / FCI","68002-204HLF","","Digi-Key","609-3298-ND"
"HDR_1X3","METZ CONNECT - PR20203VBNN - CONNECTOR, HEADER, 3POS, 1ROW, 2.54MM","JP2","PR20203VBNN","1","METZ CONNECT","PR20203VBNN","","Digi-Key","1849-1003-ND"
"2u2/2A","FIXED IND 2.2UH 2A 80 MOHM SMD","L1","L1210R2R2MDWIT","1","KEMET","L1210R2R2MDWIT","1210","Digi-Key","399-9598-1-ND"
"LINK","CONN JUMPER SHORTING .100"" GOLD","LINK1","QPC02SXGN-RC","1","Sullins","QPC02SXGN-RC","100","Digi-Key","S9337-ND"
"LINK","CONN JUMPER SHORTING .100"" GOLD","LINK2","QPC02SXGN-RC","1","Sullins","QPC02SXGN-RC","100","Digi-Key","S9337-ND"
"100K","Res Thick Film 0805 100K Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R","R1","AC0805FR-07100KL","1","Yageo","AC0805FR-07100KL","0805","Digi-Key","YAG3688CT-ND"
"560R","Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200","R2","AC0805FR-07560RL","1","Yageo","AC0805FR-07560RL","0805","Digi-Key","YAG3743CT-ND"
"560R","Thick Film Resistors - SMD 1/8W 560ohm 1% AEC-Q200","R3","AC0805FR-07560RL","1","Yageo","AC0805FR-07560RL","0805","Digi-Key","YAG3743CT-ND"
"10K","RES SMD 10K OHM 5% 1/8W 0805","R5","SR0805JR-0710KL","1","Yageo","SR0805JR-0710KL","0805","Digi-Key","13-SR0805JR-0710KLCT-ND"
"22R","Res Thick Film 0805 22 Ohm 5% 1/8W 100ppm/C Molded SMD SMD Paper T/R","R6","RC0805JR-0722RL","1","Yageo","RC0805JR-0722RL","0805","Digi-Key","311-22ARCT-ND"
"1MR/0805","RES SMD 1M OHM 1% 1/8W 0805","R7","RV0805FR-071ML","1","Yageo","RV0805FR-071ML","0805","Digi-Key","311-1MNGCT-ND"
